tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
2 Волосовская,37,60%,1219,80%,,c1,,"3, 39"
2 Волосовская,37,60%,1219,80%,,c2,yes,"3, 45"
26 Тихвинская,846,58%,1218,78%,,c1,yes,"22, 44"
26 Тихвинская,846,58%,1218,78%,,c2,,"21, 45"
6 Выборгская,319,57%,1210,78%,,c1,,"2, 42"
6 Выборгская,319,57%,1210,78%,,c2,,"21, 40"
27 Тосненская,867,56%,1212,79%,КОИБ,c1,,"20, 35"
27 Тосненская,867,56%,1212,79%,КОИБ,c2,yes,"20, 35"
3 Волховская,64,53%,1219,78%,,c1,,"22, 45"
3 Волховская,64,53%,1219,78%,,c2,,
16 Ломоносовская,637,70%,1207,79%,,,,missing
17 Лужская,670,61%,1206,77%,,,,missing
12 Киришская,527,67%,1209,74%,КОИБ,c1,yes,"21, 40"
12 Киришская,527,67%,1209,74%,КОИБ,c2,yes,"19, 37"
5 Всеволожская,122,65%,1205,79%,,c1,yes,
5 Всеволожская,122,65%,1205,79%,,c2,yes,
6 Выборгская,268,65%,1200,73%,,c1,yes,"21, 41"
6 Выборгская,268,65%,1200,73%,,c2,yes,"16, 45"
5 Всеволожская,208,50%,1204,78%,КОИБ,c1,,"7, 36"
5 Всеволожская,208,50%,1204,78%,КОИБ,c2,yes,"6, 36"
5 Всеволожская,140,77%,1198,78%,КОИБ,,,missing
12 Киришская,543,79%,1190,77%,,c1,,"5, 47"
12 Киришская,543,79%,1190,77%,,c2,yes,"15, 42"
5 Всеволожская,167,70%,1190,83%,,c1,yes,"20, 42"
5 Всеволожская,167,70%,1190,83%,,c2,yes,"21, 37"
11 Кингисеппская,481,68%,1194,74%,,c1,yes,35
11 Кингисеппская,481,68%,1194,74%,,c2,yes,"10, 36"
6 Выборгская,244,65%,1195,74%,,c1,,"22, 35"
6 Выборгская,244,65%,1195,74%,,c2,yes,"16, 37"
5 Всеволожская,229,49%,1188,71%,,,,missing
12 Киришская,519,68%,1188,76%,КОИБ,c1,yes,"5, 38"
12 Киришская,519,68%,1188,76%,КОИБ,c2,yes,"33, 7, 43, 36, 8, 44, 34, 36, 22, 33, 42, 32, 36, 42, 20, 34, 20, 22, 36, 5, 41, 22, 31, 36, 33, 36, 40, 37, 35, 21, 46, 34, 34, 35, 33, 20, 26, 2, 35, 35, 34, 34, 66, 18"
7 Гатчинская,394,66%,1181,77%,,c1,,"20, 43"
7 Гатчинская,394,66%,1181,77%,,c2,yes,
7 Гатчинская,382,63%,1181,78%,,c1,yes,"21, 35"
7 Гатчинская,382,63%,1181,78%,,c2,,"19, 37"
27 Тосненская,905,71%,1174,79%,,,,missing
6 Выборгская,321,80%,1178,85%,,c1,yes,"19, 46"
6 Выборгская,321,80%,1178,85%,,c2,yes,"19, 44"
1 Бокситогорская,8,69%,1175,82%,,c1,yes,"20, 38"
1 Бокситогорская,8,69%,1175,82%,,c2,yes,"21, 38"
12 Киришская,531,64%,1175,76%,КОИБ,c1,yes,"20, 20, 38"
12 Киришская,531,64%,1175,76%,КОИБ,c2,yes,"19, 6"
13 Кировская,547,60%,1174,79%,КОИБ,c1,yes,"21, 36"
13 Кировская,547,60%,1174,79%,КОИБ,c2,yes,"22, 35"
3 Волховская,68,58%,1176,77%,,c1,yes,"5, 35"
3 Волховская,68,58%,1176,77%,,c2,,"23, 35"
13 Кировская,548,61%,1163,77%,КОИБ,c1,,"22, 37"
13 Кировская,548,61%,1163,77%,КОИБ,c2,,"25, 37"
6 Выборгская,283,59%,1168,80%,,c1,,"10, 39"
6 Выборгская,283,59%,1168,80%,,c2,,38
2 Волосовская,59,86%,1150,87%,,,,missing
3 Волховская,62,72%,1153,81%,,,,missing
1 Бокситогорская,12,70%,1155,80%,,c1,,"19, 47"
1 Бокситогорская,12,70%,1155,80%,,c2,,"21, 44"
7 Гатчинская,395,67%,1152,79%,,c1,yes,"20, 38"
7 Гатчинская,395,67%,1152,79%,,c2,,"21, 41"
11 Кингисеппская,487,67%,1155,80%,,c1,yes,"8, 36"
11 Кингисеппская,487,67%,1155,80%,,c2,yes,"4, 35"
27 Тосненская,877,67%,1155,81%,,c1,yes,"19, 39"
27 Тосненская,877,67%,1155,81%,,c2,yes,"19, 41"
20 Подпорожская,728,64%,1157,79%,,c1,yes,"22, 35"
20 Подпорожская,728,64%,1157,79%,,c2,yes,"23, 36"
11 Кингисеппская,477,70%,1148,77%,,c1,yes,"20, 41"
11 Кингисеппская,477,70%,1148,77%,,c2,yes,
5 Всеволожская,133,70%,1142,79%,,c1,,"19, 47"
5 Всеволожская,133,70%,1142,79%,,c2,yes,"20, 36"
11 Кингисеппская,489,67%,1140,78%,,c1,yes,"4, 46"
11 Кингисеппская,489,67%,1140,78%,,c2,yes,40
5 Всеволожская,169,66%,1144,81%,,c1,yes,"25, 48"
5 Всеволожская,169,66%,1144,81%,,c2,,"21, 43"
16 Ломоносовская,662,65%,1148,79%,,c1,yes,"8, 9, 8, 8, 8, 8, 39"
16 Ломоносовская,662,65%,1148,79%,,c2,yes,"8, 8, 8, 8, 12, 11, 8, 8, 9, 36"
3 Волховская,78,63%,1142,77%,,c1,,2
3 Волховская,78,63%,1142,77%,,c2,yes,
16 Ломоносовская,642,59%,1141,81%,,c1,yes,"2, 45"
16 Ломоносовская,642,59%,1141,81%,,c2,yes,40
16 Ломоносовская,660,85%,1134,85%,,,,missing
27 Тосненская,958,66%,1135,83%,,,,missing
11 Кингисеппская,484,75%,1132,81%,,c1,yes,"21, 37"
11 Кингисеппская,484,75%,1132,81%,,c2,yes,
11 Кингисеппская,490,66%,1136,79%,,c1,yes,"20, 37"
11 Кингисеппская,490,66%,1136,79%,,c2,yes,"4, 41"
27 Тосненская,868,63%,1134,76%,КОИБ,c1,yes,
27 Тосненская,868,63%,1134,76%,КОИБ,c2,yes,"7, 35"
27 Тосненская,872,59%,1134,77%,КОИБ,c1,yes,"13, 4, 39"
27 Тосненская,872,59%,1134,77%,КОИБ,c2,yes,"21, 35"
6 Выборгская,270,59%,1131,74%,,c1,yes,"12, 35"
6 Выборгская,270,59%,1131,74%,,c2,yes,36
5 Всеволожская,223,55%,1130,79%,,c1,yes,"21, 36"
5 Всеволожская,223,55%,1130,79%,,c2,yes,"19, 35"
12 Киришская,517,68%,1120,77%,КОИБ,c1,yes,"13, 36"
12 Киришская,517,68%,1120,77%,КОИБ,c2,yes,
6 Выборгская,265,64%,1122,76%,,c1,yes,"22, 42"
6 Выборгская,265,64%,1122,76%,,c2,yes,"20, 35"
5 Всеволожская,146,60%,1127,76%,,c1,yes,"4, 45"
5 Всеволожская,146,60%,1127,76%,,c2,yes,"4, 41"
16 Ломоносовская,661,57%,1127,85%,,c1,yes,"8, 21, 8, 20, 8, 11, 8, 13, 9, 8, 21, 8, 12, 8, 8, 11, 37, 8"
16 Ломоносовская,661,57%,1127,85%,,c2,yes,"8, 5, 8, 8, 8, 8, 13, 8, 8, 8, 15, 8, 9, 8, 8, 8, 36"
5 Всеволожская,130,76%,1118,78%,,,,missing
6 Выборгская,322,84%,1110,85%,,c1,yes,"8, 36"
6 Выборгская,322,84%,1110,85%,,c2,yes,"19, 43"
7 Гатчинская,422,77%,1110,77%,,c1,,"21, 45"
7 Гатчинская,422,77%,1110,77%,,c2,yes,"20, 50"
27 Тосненская,906,65%,1114,82%,КОИБ,c1,yes,"20, 41"
27 Тосненская,906,65%,1114,82%,КОИБ,c2,yes,"6, 44"
21 Приозерская,762,64%,1118,76%,,c1,,"22, 37"
21 Приозерская,762,64%,1118,76%,,c2,yes,"21, 36"
6 Выборгская,256,60%,1115,73%,,c1,yes,"20, 41"
6 Выборгская,256,60%,1115,73%,,c2,yes,"21, 43"
21 Приозерская,778,70%,1100,80%,,,,missing
7 Гатчинская,388,76%,1107,79%,,c1,yes,"21, 1850, 2954, 2954, 801, 801, 801, 141, 63, 45"
7 Гатчинская,388,76%,1107,79%,,c2,yes,"19, 1859, 2380, 2380, 1376, 1376, 136, 136, 54, 48"
7 Гатчинская,377,71%,1104,77%,,c1,yes,"21, 38"
7 Гатчинская,377,71%,1104,77%,,c2,yes,37
7 Гатчинская,392,71%,1101,79%,,c1,,"23, 37"
7 Гатчинская,392,71%,1101,79%,,c2,yes,"20, 38"
11 Кингисеппская,485,70%,1106,78%,,c1,yes,
11 Кингисеппская,485,70%,1106,78%,,c2,yes,
7 Гатчинская,391,56%,1100,78%,,c1,yes,38
7 Гатчинская,391,56%,1100,78%,,c2,yes,"21, 36"
27 Тосненская,922,84%,1095,84%,,c1,yes,"20, 44"
27 Тосненская,922,84%,1095,84%,,c2,yes,"20, 45"
11 Кингисеппская,486,70%,1095,78%,,c1,yes,"5, 36"
11 Кингисеппская,486,70%,1095,78%,,c2,yes,"10, 35"
7 Гатчинская,385,62%,1096,78%,,c1,yes,"21, 36"
7 Гатчинская,385,62%,1096,78%,,c2,,"19, 41"
6 Выборгская,318,60%,1093,77%,,c1,yes,"20, 36"
6 Выборгская,318,60%,1093,77%,,c2,,"19, 37"
11 Кингисеппская,478,67%,1087,80%,,c1,,
11 Кингисеппская,478,67%,1087,80%,,c2,yes,"5, 44"
11 Кингисеппская,488,67%,1084,79%,,c1,,
11 Кингисеппская,488,67%,1084,79%,,c2,yes,"5, 35"
6 Выборгская,267,66%,1083,73%,,c1,,"22, 46"
6 Выборгская,267,66%,1083,73%,,c2,yes,"21, 41"
13 Кировская,551,57%,1086,80%,КОИБ,c1,yes,"22, 45"
13 Кировская,551,57%,1086,80%,КОИБ,c2,yes,"22, 36"
17 Лужская,692,79%,1071,87%,,,,missing
7 Гатчинская,426,66%,1070,82%,,,,missing
16 Ломоносовская,640,65%,1074,83%,,,,missing
7 Гатчинская,378,61%,1079,78%,,c1,yes,
7 Гатчинская,378,61%,1079,78%,,c2,,"10, 36"
7 Гатчинская,393,58%,1072,81%,,c1,,"20, 44"
7 Гатчинская,393,58%,1072,81%,,c2,yes,"22, 35"
7 Гатчинская,357,66%,1063,80%,,,,missing
5 Всеволожская,956,55%,1062,77%,,,,missing
5 Всеволожская,152,91%,1065,77%,,c1,,
5 Всеволожская,152,91%,1065,77%,,c2,,
7 Гатчинская,447,70%,1061,85%,,c1,yes,"21, 48"
7 Гатчинская,447,70%,1061,85%,,c2,yes,"19, 35"
3 Волховская,66,57%,1068,75%,,c1,yes,"56, 206, 225, 90, 61, 48, 107, 64, 86, 162, 447, 983, 884, 58, 61, 64, 40"
3 Волховская,66,57%,1068,75%,,c2,yes,"60, 193, 141, 99, 67, 48, 93, 56, 88, 188, 425, 584, 891, 52, 57, 64, 39"
5 Всеволожская,222,48%,1061,75%,,c1,yes,
5 Всеволожская,222,48%,1061,75%,,c2,yes,
16 Ломоносовская,641,65%,1059,84%,,,,missing
5 Всеволожская,160,61%,1053,82%,,,,missing
25 Сосновоборская городская,939,82%,1044,79%,КОИБ,c1,yes,"21, 35"
25 Сосновоборская городская,939,82%,1044,79%,КОИБ,c2,yes,"20, 45"
7 Гатчинская,403,77%,1046,78%,,c1,yes,
7 Гатчинская,403,77%,1046,78%,,c2,yes,
2 Волосовская,38,69%,1042,81%,,c1,yes,38
2 Волосовская,38,69%,1042,81%,,c2,yes,"21, 43"
7 Гатчинская,465,66%,1044,80%,,c1,yes,"8, 26, 10, 8, 8, 13, 8, 11, 8, 8, 8, 8, 8, 8, 8, 44, 8, 8, 8, 8"
7 Гатчинская,465,66%,1044,80%,,c2,yes,"33, 8, 10, 34, 14, 44, 35, 50, 42, 8, 66, 55, 58, 48, 34, 43, 11, 28, 35, 16, 28, 24, 14, 39, 32, 39, 34, 50, 65, 42, 26, 28, 38, 47, 28, 13, 12, 3, 26, 14, 20, 8, 7, 33, 46, 41, 19, 53"
6 Выборгская,254,65%,1046,76%,,c1,yes,"22, 37"
6 Выборгская,254,65%,1046,76%,,c2,,"21, 40"
6 Выборгская,240,56%,1046,71%,,c1,yes,"16, 38"
6 Выборгская,240,56%,1046,71%,,c2,,"19, 43"
16 Ломоносовская,972,100%,1030,89%,,,,missing
5 Всеволожская,964,63%,1031,74%,,,,missing
5 Всеволожская,143,84%,1037,76%,КОИБ,c1,yes,"23, 36"
5 Всеволожская,143,84%,1037,76%,КОИБ,c2,yes,"23, 36"
21 Приозерская,768,67%,1030,82%,,c1,,45
21 Приозерская,768,67%,1030,82%,,c2,yes,"5, 46"
21 Приозерская,783,65%,1034,79%,,c1,yes,"20, 46"
21 Приозерская,783,65%,1034,79%,,c2,yes,"18, 45"
11 Кингисеппская,473,64%,1037,77%,,c1,yes,"6, 39"
11 Кингисеппская,473,64%,1037,77%,,c2,yes,"16, 36"
11 Кингисеппская,480,63%,1031,80%,,c1,yes,"21, 47"
11 Кингисеппская,480,63%,1031,80%,,c2,yes,
6 Выборгская,339,60%,1031,78%,,c1,yes,"20, 45"
6 Выборгская,339,60%,1031,78%,,c2,yes,"21, 45"
7 Гатчинская,384,59%,1036,79%,,c1,,
7 Гатчинская,384,59%,1036,79%,,c2,,"21, 39"
7 Гатчинская,381,57%,1031,74%,,c1,yes,45
7 Гатчинская,381,57%,1031,74%,,c2,yes,"20, 47"
25 Сосновоборская городская,936,74%,1028,77%,КОИБ,c1,yes,"21, 40"
25 Сосновоборская городская,936,74%,1028,77%,КОИБ,c2,yes,"19, 45"
11 Кингисеппская,472,70%,1023,79%,,c1,yes,
11 Кингисеппская,472,70%,1023,79%,,c2,yes,"19, 58, 47, 53, 50, 43, 42, 67"
3 Волховская,77,63%,1028,80%,,c1,yes,26
3 Волховская,77,63%,1028,80%,,c2,,"20, 42"
5 Всеволожская,178,62%,1021,78%,КОИБ,c1,,"19, 44"
5 Всеволожская,178,62%,1021,78%,КОИБ,c2,yes,"19, 36"
5 Всеволожская,147,61%,1023,76%,,c1,yes,"19, 42"
5 Всеволожская,147,61%,1023,76%,,c2,yes,"20, 35"
6 Выборгская,320,58%,1023,82%,,c1,yes,"26, 46"
6 Выборгская,320,58%,1023,82%,,c2,,"19, 39"
16 Ломоносовская,657,70%,1018,76%,КОИБ,,,missing
27 Тосненская,909,61%,1010,79%,КОИБ,,,missing
13 Кировская,558,54%,1012,78%,,,,missing
5 Всеволожская,142,79%,1011,77%,КОИБ,c1,yes,"21, 36"
5 Всеволожская,142,79%,1011,77%,КОИБ,c2,yes,"21, 40"
11 Кингисеппская,482,66%,1018,81%,,c1,yes,
11 Кингисеппская,482,66%,1018,81%,,c2,yes,
17 Лужская,683,63%,1010,77%,,c1,,43
17 Лужская,683,63%,1010,77%,,c2,,"22, 35"
6 Выборгская,251,62%,1016,73%,,c1,yes,"20, 47"
6 Выборгская,251,62%,1016,73%,,c2,yes,"21, 42"
27 Тосненская,908,58%,1016,80%,КОИБ,c1,yes,"19, 40"
27 Тосненская,908,58%,1016,80%,КОИБ,c2,yes,"21, 36"
5 Всеволожская,158,62%,1004,79%,,,,missing
11 Кингисеппская,471,63%,1006,77%,,c1,yes,"2, 42"
11 Кингисеппская,471,63%,1006,77%,,c2,yes,"2, 43"
20 Подпорожская,725,63%,1008,76%,,c1,yes,"22, 41"
20 Подпорожская,725,63%,1008,76%,,c2,yes,"22, 47"
27 Тосненская,910,62%,1006,80%,КОИБ,c1,yes,"21, 36"
27 Тосненская,910,62%,1006,80%,КОИБ,c2,yes,36
7 Гатчинская,389,59%,1008,76%,,c1,,"5, 44"
7 Гатчинская,389,59%,1008,76%,,c2,yes,"6, 36"
6 Выборгская,246,58%,1007,72%,,c1,yes,"20, 44"
6 Выборгская,246,58%,1007,72%,,c2,yes,
16 Ломоносовская,644,88%,993,88%,,,,missing
5 Всеволожская,141,77%,994,79%,КОИБ,c1,yes,35
5 Всеволожская,141,77%,994,79%,КОИБ,c2,yes,"40, 35"
7 Гатчинская,451,75%,998,82%,,c1,yes,"22, 37"
7 Гатчинская,451,75%,998,82%,,c2,yes,"19, 36"
11 Кингисеппская,483,69%,997,81%,,c1,yes,"20, 42, 2"
11 Кингисеппская,483,69%,997,81%,,c2,yes,"20, 35"
1 Бокситогорская,5,67%,997,77%,,c1,,35
1 Бокситогорская,5,67%,997,77%,,c2,yes,39
20 Подпорожская,727,65%,996,80%,,c1,,"20, 47"
20 Подпорожская,727,65%,996,80%,,c2,,"22, 35"
6 Выборгская,258,64%,990,79%,,c1,yes,"9, 9, 8, 57, 8, 8, 10, 10, 8, 18, 8, 8, 8, 9, 8, 8, 9, 8, 9, 8, 9, 8, 8, 8, 8, 8, 10, 8, 56, 9, 8, 8, 9, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8"
6 Выборгская,258,64%,990,79%,,c2,yes,"9, 16, 8, 47, 8, 9, 32, 8, 8, 8, 10, 8, 25, 8, 9, 8, 9, 8, 8, 8, 8, 13, 9, 9, 10, 8, 8, 8, 62, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 12, 8, 8, 8"
5 Всеволожская,179,65%,989,78%,КОИБ,,,missing
6 Выборгская,277,53%,984,80%,,,,missing
5 Всеволожская,186,79%,980,84%,,c1,yes,"5, 40"
5 Всеволожская,186,79%,980,84%,,c2,yes,"21, 36"
5 Всеволожская,197,72%,986,82%,,c1,,"16, 41"
5 Всеволожская,197,72%,986,82%,,c2,yes,"7, 36"
7 Гатчинская,408,66%,981,82%,,c1,yes,
7 Гатчинская,408,66%,981,82%,,c2,yes,
5 Всеволожская,116,66%,982,83%,,c1,yes,
5 Всеволожская,116,66%,982,83%,,c2,yes,
5 Всеволожская,168,65%,982,78%,,c1,yes,"5, 36"
5 Всеволожская,168,65%,982,78%,,c2,yes,"21, 37"
27 Тосненская,874,64%,986,80%,КОИБ,c1,yes,"19, 47"
27 Тосненская,874,64%,986,80%,КОИБ,c2,yes,"20, 43"
5 Всеволожская,957,60%,987,78%,,c1,yes,"4, 44"
5 Всеволожская,957,60%,987,78%,,c2,yes,"21, 35"
6 Выборгская,293,90%,976,88%,,c1,yes,"21, 35"
6 Выборгская,293,90%,976,88%,,c2,,"20, 47"
7 Гатчинская,380,61%,973,76%,,c1,,"12, 37"
7 Гатчинская,380,61%,973,76%,,c2,yes,"5, 36"
6 Выборгская,349,60%,973,79%,,c1,,48
6 Выборгская,349,60%,973,79%,,c2,,"33, 29, 26, 52, 27, 26, 27, 23, 38, 23, 22, 70, 45, 35, 31, 30, 26, 22, 25, 28, 31, 19, 36, 22, 85, 29, 22, 35, 51, 21, 35, 26"
6 Выборгская,248,59%,970,70%,,c1,yes,"21, 41"
6 Выборгская,248,59%,970,70%,,c2,,"20, 42"
16 Ломоносовская,647,68%,962,81%,,,,missing
7 Гатчинская,430,82%,962,86%,,c1,yes,"19, 40"
7 Гатчинская,430,82%,962,86%,,c2,yes,"3, 21, 42"
5 Всеволожская,150,75%,960,76%,,c1,yes,"19, 45"
5 Всеволожская,150,75%,960,76%,,c2,yes,"22, 47"
5 Всеволожская,134,67%,962,83%,,c1,yes,
5 Всеволожская,134,67%,962,83%,,c2,,"20, 35"
7 Гатчинская,434,65%,966,83%,,c1,yes,"21, 49"
7 Гатчинская,434,65%,966,83%,,c2,,"21, 46"
6 Выборгская,263,63%,962,74%,,c1,yes,"20, 35"
6 Выборгская,263,63%,962,74%,,c2,yes,"19, 41"
5 Всеволожская,131,60%,964,79%,,c1,yes,"19, 36"
5 Всеволожская,131,60%,964,79%,,c2,yes,"21, 46"
6 Выборгская,287,59%,967,79%,,c1,,"20, 43"
6 Выборгская,287,59%,967,79%,,c2,yes,"22, 41"
6 Выборгская,340,59%,963,81%,,c1,,"26, 46"
6 Выборгская,340,59%,963,81%,,c2,yes,"20, 46"
27 Тосненская,911,56%,968,80%,,c1,yes,"8, 11, 10, 12, 9, 8, 9, 116, 845, 8, 8, 8, 8, 105, 36"
27 Тосненская,911,56%,968,80%,,c2,yes,"8, 8, 8, 25, 8, 15, 16, 822, 8, 14, 8, 12, 93, 35"
21 Приозерская,785,76%,951,81%,,,,missing
5 Всеволожская,144,87%,956,75%,КОИБ,c1,,"21, 36"
5 Всеволожская,144,87%,956,75%,КОИБ,c2,,"20, 35"
13 Кировская,575,68%,959,79%,,c1,yes,"21, 46"
13 Кировская,575,68%,959,79%,,c2,,40
6 Выборгская,260,61%,954,73%,,c1,,"23, 47"
6 Выборгская,260,61%,954,73%,,c2,,"21, 46"
5 Всеволожская,149,60%,959,75%,,c1,yes,"5, 43"
5 Всеволожская,149,60%,959,75%,,c2,yes,"21, 36"
7 Гатчинская,464,75%,940,83%,,c1,,"22, 44"
7 Гатчинская,464,75%,940,83%,,c2,yes,"23, 36"
7 Гатчинская,390,69%,949,77%,,c1,,
7 Гатчинская,390,69%,949,77%,,c2,,"20, 42"
11 Кингисеппская,474,64%,948,79%,,c1,yes,"8, 37"
11 Кингисеппская,474,64%,948,79%,,c2,yes,"20, 46"
15 Лодейнопольская,598,64%,949,78%,,c1,yes,"7, 36"
15 Лодейнопольская,598,64%,949,78%,,c2,,"20, 39"
15 Лодейнопольская,594,63%,941,79%,,c1,yes,"21, 40"
15 Лодейнопольская,594,63%,941,79%,,c2,yes,"20, 11, 42"
6 Выборгская,253,62%,945,75%,,c1,yes,"22, 40"
6 Выборгская,253,62%,945,75%,,c2,yes,"21, 36"
25 Сосновоборская городская,932,79%,939,72%,КОИБ,,,missing
21 Приозерская,769,77%,932,87%,,,,missing
16 Ломоносовская,623,70%,933,82%,КОИБ,,,missing
16 Ломоносовская,654,68%,931,85%,,,,missing
5 Всеволожская,161,62%,931,80%,,,,missing
6 Выборгская,266,69%,931,74%,,c1,yes,"20, 45"
6 Выборгская,266,69%,931,74%,,c2,,"23, 3, 40"
3 Волховская,106,68%,937,77%,,c1,yes,35
3 Волховская,106,68%,937,77%,,c2,,"15, 36"
11 Кингисеппская,514,62%,936,73%,,c1,yes,"4, 42"
11 Кингисеппская,514,62%,936,73%,,c2,yes,41
6 Выборгская,262,62%,937,70%,,c1,,"29, 41"
6 Выборгская,262,62%,937,70%,,c2,,"23, 39"
2 Волосовская,52,68%,921,80%,,,,missing
21 Приозерская,773,69%,927,79%,,c1,yes,"15, 48"
21 Приозерская,773,69%,927,79%,,c2,yes,"21, 41"
5 Всеволожская,128,63%,929,81%,,c1,yes,4
5 Всеволожская,128,63%,929,81%,,c2,yes,2
17 Лужская,682,61%,922,78%,,c1,,"21, 36"
17 Лужская,682,61%,922,78%,,c2,yes,
6 Выборгская,316,68%,918,87%,,,,missing
5 Всеволожская,183,63%,918,81%,КОИБ,,,missing
6 Выборгская,297,85%,918,88%,,c1,,"20, 46"
6 Выборгская,297,85%,918,88%,,c2,,"21, 36"
6 Выборгская,247,67%,918,76%,,c1,,"23, 39"
6 Выборгская,247,67%,918,76%,,c2,,"21, 45"
15 Лодейнопольская,599,63%,913,80%,,c1,,
15 Лодейнопольская,599,63%,913,80%,,c2,,
6 Выборгская,249,60%,917,74%,,c1,yes,"21, 39"
6 Выборгская,249,60%,917,74%,,c2,yes,"26, 43"
2 Волосовская,48,90%,901,89%,,,,missing
11 Кингисеппская,502,80%,905,77%,,,,missing
16 Ломоносовская,639,58%,903,79%,,,,missing
27 Тосненская,959,58%,908,77%,КОИБ,,,missing
7 Гатчинская,424,75%,900,81%,,c1,,
7 Гатчинская,424,75%,900,81%,,c2,yes,"20, 43"
6 Выборгская,264,71%,908,62%,,c1,yes,"20, 42"
6 Выборгская,264,71%,908,62%,,c2,,"20, 42"
27 Тосненская,891,57%,908,80%,,c1,,"38, 3"
27 Тосненская,891,57%,908,80%,,c2,yes,"6, 46"
6 Выборгская,237,54%,902,72%,,c1,yes,"19, 41"
6 Выборгская,237,54%,902,72%,,c2,yes,"21, 40"
1 Бокситогорская,24,82%,899,84%,,,,missing
25 Сосновоборская городская,951,74%,891,76%,КОИБ,c1,yes,"21, 46"
25 Сосновоборская городская,951,74%,891,76%,КОИБ,c2,yes,"22, 46"
5 Всеволожская,233,60%,897,80%,,c1,yes,"21, 43"
5 Всеволожская,233,60%,897,80%,,c2,yes,"22, 45"
5 Всеволожская,207,58%,892,78%,КОИБ,c1,,"19, 40"
5 Всеволожская,207,58%,892,78%,КОИБ,c2,yes,"20, 35"
7 Гатчинская,386,45%,898,77%,,c1,yes,"20, 35"
7 Гатчинская,386,45%,898,77%,,c2,yes,"19, 3, 36"
5 Всеволожская,170,78%,883,80%,,,,missing
7 Гатчинская,436,68%,880,81%,,,,missing
5 Всеволожская,164,68%,887,76%,,,,missing
7 Гатчинская,413,59%,889,80%,,,,missing
2 Волосовская,54,57%,882,81%,,,,missing
26 Тихвинская,844,69%,886,76%,,c1,yes,"20, 48"
26 Тихвинская,844,69%,886,76%,,c2,yes,43
17 Лужская,679,60%,887,78%,,c1,yes,"22, 36"
17 Лужская,679,60%,887,78%,,c2,yes,"24, 36"
17 Лужская,680,59%,889,79%,,c1,yes,"20, 43"
17 Лужская,680,59%,889,79%,,c2,,"22, 36"
21 Приозерская,779,62%,879,79%,,,,missing
17 Лужская,676,63%,877,80%,,c1,,"8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 13, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 47, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8"
17 Лужская,676,63%,877,80%,,c2,yes,"8, 8, 8, 16, 8, 8, 8, 8, 8, 15, 8, 8, 8, 9, 8, 8, 8, 9, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 50, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8"
21 Приозерская,781,61%,875,78%,,c1,,"21, 43"
21 Приозерская,781,61%,875,78%,,c2,yes,"19, 38"
6 Выборгская,252,61%,870,74%,,c1,yes,"18, 47"
6 Выборгская,252,61%,870,74%,,c2,yes,
26 Тихвинская,833,65%,868,79%,,c1,yes,"4, 35"
26 Тихвинская,833,65%,868,79%,,c2,,"7, 36"
5 Всеволожская,182,65%,868,83%,КОИБ,c1,yes,
5 Всеволожская,182,65%,868,83%,КОИБ,c2,yes,35
24 Сланцевская,798,62%,864,77%,,c1,,"20, 36"
24 Сланцевская,798,62%,864,77%,,c2,yes,"20, 36"
7 Гатчинская,374,60%,868,74%,,c1,yes,"21, 42"
7 Гатчинская,374,60%,868,74%,,c2,,"21, 42"
27 Тосненская,907,57%,867,79%,КОИБ,c1,yes,"20, 40"
27 Тосненская,907,57%,867,79%,КОИБ,c2,yes,"20, 42"
7 Гатчинская,450,82%,856,82%,,,,missing
6 Выборгская,300,62%,856,77%,,,,missing
20 Подпорожская,729,62%,853,75%,,c1,,"22, 35"
20 Подпорожская,729,62%,853,75%,,c2,yes,"21, 37"
6 Выборгская,259,61%,851,74%,,c1,yes,"3, 45"
6 Выборгская,259,61%,851,74%,,c2,yes,"20, 38"
27 Тосненская,981,76%,846,78%,,,,missing
21 Приозерская,782,60%,841,76%,,,,missing
7 Гатчинская,439,74%,846,84%,,c1,yes,"18, 46"
7 Гатчинская,439,74%,846,84%,,c2,yes,"20, 2, 45"
5 Всеволожская,217,62%,847,79%,КОИБ,c1,yes,
5 Всеволожская,217,62%,847,79%,КОИБ,c2,yes,"20, 43"
17 Лужская,668,55%,847,80%,,c1,,"21, 42"
17 Лужская,668,55%,847,80%,,c2,yes,"22, 46"
17 Лужская,717,76%,833,82%,,,,missing
16 Ломоносовская,625,65%,837,80%,КОИБ,,,missing
6 Выборгская,236,68%,831,73%,,c1,yes,23
6 Выборгская,236,68%,831,73%,,c2,yes,
16 Ломоносовская,624,60%,839,79%,КОИБ,c1,yes,"23, 39"
16 Ломоносовская,624,60%,839,79%,КОИБ,c2,yes,"18, 43"
24 Сланцевская,802,60%,838,80%,,c1,,
24 Сланцевская,802,60%,838,80%,,c2,yes,"3, 37"
